ID	Election ID	Office Code	Borough Code	Political District	Assembly District	Election District	Election Name	Office Title	Borough Name	ED Used	Number of Candidates	Vote for	Formatted District	Public Counter	Absentee/Military Ballot	Federal Ballot	Emergency Ballot	Affidavit Ballot	Total Votes for this Office	Scattered Votes	Unrecorded Votes
2013G114NY23	2013G	11	4	NY	23		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	18034	815	0	68	259	18796	26	380
2013G114NY24	2013G	11	4	NY	24		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	13459	475	0	0	101	13899	14	136
2013G114NY25	2013G	11	4	NY	25		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	13472	397	0	0	89	13746	15	212
2013G114NY26	2013G	11	4	NY	26		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	21097	878	0	1	115	21757	26	334
2013G114NY27	2013G	11	4	NY	27		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	14376	601	0	0	113	14932	22	158
2013G114NY28	2013G	11	4	NY	28		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	17878	728	0	0	98	18440	37	264
2013G114NY29	2013G	11	4	NY	29		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	17580	497	0	1	167	18126	7	119
2013G114NY30	2013G	11	4	NY	30		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	14367	466	0	14	120	14803	21	164
2013G114NY31	2013G	11	4	NY	31		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	12019	307	0	0	124	12345	4	105
2013G114NY32	2013G	11	4	NY	32		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	16455	334	0	6	182	16838	10	139
2013G114NY33	2013G	11	4	NY	33		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	19352	404	0	0	136	19775	13	117
2013G114NY34	2013G	11	4	NY	34		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	10134	237	0	0	121	10359	7	133
2013G114NY35	2013G	11	4	NY	35		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	9190	375	0	0	98	9555	20	108
2013G114NY36	2013G	11	4	NY	36		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	14716	290	0	1	199	14943	27	263
2013G114NY37	2013G	11	4	NY	37		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	12663	267	0	59	160	12972	27	177
2013G114NY38	2013G	11	4	NY	38		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	9719	196	0	1	98	9894	8	120
2013G114NY39	2013G	11	4	NY	39		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	7292	148	0	0	101	7439	7	102
2013G114NY40	2013G	11	4	NY	40		General Election 2013 - 11	Mayor	Queens		20	01	TOTAL	10014	361	0	0	63	10246	13	192
2013G113NY41	2013G	11	3	NY	41		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	18152	476	0	7	199	18458	18	376
2013G113NY42	2013G	11	3	NY	42		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	17221	314	0	2	292	17671	16	158
2013G113NY43	2013G	11	3	NY	43		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	19018	394	0	0	244	19519	19	137
2013G113NY44	2013G	11	3	NY	44		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	21572	376	0	0	270	21920	37	298
2013G113NY45	2013G	11	3	NY	45		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	12591	458	0	1	161	12738	17	473
2013G113NY46	2013G	11	3	NY	46		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	17456	658	0	14	185	17794	27	519
2013G113NY47	2013G	11	3	NY	47		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	9699	374	0	0	100	9955	19	218
2013G113NY48	2013G	11	3	NY	48		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	15584	283	0	0	197	15666	15	398
2013G113NY49	2013G	11	3	NY	49		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	7584	209	0	70	74	7803	15	134
2013G113NY50	2013G	11	3	NY	50		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	15157	179	0	3	241	14917	63	663
2013G113NY51	2013G	11	3	NY	51		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	10963	197	0	1	163	11208	13	116
2013G113NY52	2013G	11	3	NY	52		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	28638	753	0	1017	376	30429	70	355
2013G113NY53	2013G	11	3	NY	53		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	12315	124	0	53	214	12498	24	208
2013G113NY54	2013G	11	3	NY	54		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	9847	107	0	16	190	10070	3	90
2013G113NY55	2013G	11	3	NY	55		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	13948	192	0	2	235	14246	0	131
2013G113NY56	2013G	11	3	NY	56		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	17641	223	0	30	263	18001	14	156
2013G113NY57	2013G	11	3	NY	57		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	24525	573	0	122	410	25388	41	242
2013G113NY58	2013G	11	3	NY	58		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	19411	359	0	1	287	19921	4	137
2013G113NY59	2013G	11	3	NY	59		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	19786	339	0	3	250	20168	11	210
2013G113NY60	2013G	11	3	NY	60		General Election 2013 - 11	Mayor	Kings		20	01	TOTAL	16891	159	0	11	253	17146	9	168
